timestamp,attack_type,confidence,is_known,signature_hash
2025-04-10 03:37:48,normal,1.0,0,1e5ffc6f
2025-04-10 03:37:49,normal,1.0,0,48a8a6fc
2025-04-10 03:37:49,normal,1.0,0,48f53261
2025-04-10 03:37:50,normal,1.0,0,2cc17604
2025-04-10 03:37:51,normal,1.0,0,1956dcb8
2025-04-10 03:37:51,normal,1.0,0,3c032c44
2025-04-10 03:37:52,normal,1.0,0,66b611f8
2025-04-10 03:37:53,normal,1.0,0,5c9135f0
2025-04-10 03:37:53,normal,1.0,0,6e003dca
2025-04-10 03:37:54,normal,1.0,0,931e2c68
2025-04-10 03:37:54,normal,1.0,0,1f5567cc
2025-04-10 03:37:55,normal,1.0,0,5eb53e45
2025-04-10 03:37:56,normal,1.0,0,7d6ae2d8
2025-04-10 03:37:56,normal,1.0,0,72c9c10a
2025-04-10 03:37:57,normal,1.0,0,35c1e065
2025-04-10 03:37:58,normal,1.0,0,40d12083
2025-04-10 03:37:58,normal,1.0,0,1593eb96
2025-04-10 03:37:59,normal,1.0,0,7d24c5f0
2025-04-10 03:37:59,normal,1.0,0,76a1e486
2025-04-10 03:38:00,normal,1.0,0,200cc811
2025-04-10 03:38:01,normal,1.0,0,621c8965
2025-04-10 03:38:01,normal,1.0,0,5d06e30b
2025-04-10 03:38:02,normal,1.0,0,c9584079
2025-04-10 03:38:03,normal,1.0,0,75fc0ee0
2025-04-10 03:38:03,normal,1.0,0,6170c4fc
2025-04-10 03:38:04,normal,1.0,0,10110d72
2025-04-10 03:38:04,normal,1.0,0,5ec4217d
2025-04-10 03:38:05,normal,1.0,0,39c543ca
2025-04-10 03:38:06,normal,1.0,0,8d443a95
2025-04-10 03:38:06,normal,1.0,0,4d702467
2025-04-10 03:38:07,normal,1.0,0,4b9e3f88
2025-04-10 03:38:07,normal,1.0,0,d94087af
2025-04-10 03:38:08,normal,1.0,0,799e3156
2025-04-10 03:38:09,normal,1.0,0,c6cffc5b
2025-04-10 03:38:09,normal,1.0,0,418fa016
2025-04-10 03:38:10,normal,1.0,0,3b0f4ac4
2025-04-10 03:38:11,normal,1.0,0,203e6483
2025-04-10 03:38:11,normal,1.0,0,7eda08d5
2025-04-10 03:38:12,normal,1.0,0,455ee171
2025-04-10 03:38:12,normal,1.0,0,6523c8a8
2025-04-10 03:38:13,normal,1.0,0,34843bf2
2025-04-10 03:38:14,normal,1.0,0,6fb5742a
2025-04-10 03:38:14,normal,1.0,0,586c19de
2025-04-10 03:38:15,normal,1.0,0,2bbb7798
2025-04-10 03:38:16,normal,1.0,0,2b8c8b69
2025-04-10 03:38:16,normal,1.0,0,15d6b88f
2025-04-10 03:38:17,normal,1.0,0,2aecc0a0
2025-04-10 03:38:17,normal,1.0,0,714628b0
2025-04-10 03:38:18,normal,1.0,0,64293fb1
2025-04-10 03:38:19,normal,1.0,0,30f843e0
2025-04-10 03:38:19,normal,1.0,0,5d199459
2025-04-10 03:38:20,normal,1.0,0,62a34320
2025-04-10 03:38:21,normal,1.0,0,23ed00e8
2025-04-10 03:38:21,normal,1.0,0,5a42a66c
2025-04-10 03:38:22,normal,1.0,0,64006949
2025-04-10 03:38:22,normal,1.0,0,2244123a
2025-04-10 03:38:23,normal,1.0,0,7f4fb723
2025-04-10 03:38:23,normal,1.0,0,30bf6346
2025-04-10 03:38:24,normal,1.0,0,79d4b41f
2025-04-10 03:38:25,normal,1.0,0,6ea74219
2025-04-10 03:38:25,normal,1.0,0,39f168a2
2025-04-10 03:38:26,normal,1.0,0,581b93a2
2025-04-10 03:38:27,normal,1.0,0,3e38aa50
2025-04-10 03:38:27,normal,1.0,0,7a6a2a34
2025-04-10 03:38:28,normal,1.0,0,13c2a2e6
2025-04-10 03:38:28,normal,1.0,0,307b819b
2025-04-10 03:38:29,normal,1.0,0,480f7c71
2025-04-10 03:38:30,normal,1.0,0,5a9cd316
